-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2015 through 12/31/2020 in UTC
Location: Latitude  28.627   Longitude 77.172 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
PS                    MERRA-2 Surface Pressure (kPa) 
PSC                   MERRA-2 Corrected Atmospheric Pressure (Adjusted For Site Elevation) (kPa) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,RH2M,WS10M,WD10M,PS,PSC
2015,1,3,16,0.0,0.0,14.54,73.34,0.99,319.5,99.2,99.05
2015,1,3,17,0.0,0.0,14.06,75.56,1.12,301.1,99.2,99.05
2015,1,3,18,0.0,0.0,13.21,79.11,1.33,289.2,99.18,99.03
2015,1,3,19,0.0,0.0,12.14,84.4,1.62,280.7,99.16,99.01
2015,1,3,20,0.0,0.0,10.97,90.92,2.02,275.7,99.13,98.98
2015,1,3,21,0.0,0.0,10.1,96.18,2.22,272.3,99.08,98.93
2015,1,3,22,0.0,0.0,9.41,100.0,2.33,269.8,99.07,98.92
2015,1,3,23,0.0,0.0,8.77,100.0,2.46,269.3,99.08,98.93
2015,1,4,0,0.0,0.0,8.21,100.0,2.56,271.1,99.13,98.98
2015,1,4,1,0.0,0.0,7.73,100.0,2.6,272.9,99.19,99.04
2015,1,4,2,51.08,66.8,9.53,100.0,2.51,274.6,99.28,99.12
2015,1,4,3,131.25,209.82,12.21,86.08,3.2,278.4,99.38,99.22
2015,1,4,4,192.65,361.52,15.51,65.46,2.77,292.0,99.44,99.29
2015,1,4,5,238.35,478.7,18.77,41.89,3.18,308.7,99.41,99.26
2015,1,4,6,255.88,470.52,20.13,34.15,3.41,314.8,99.31,99.16
2015,1,4,7,331.0,476.3,20.95,30.65,3.68,317.4,99.22,99.07
2015,1,4,8,404.88,417.9,21.24,28.77,3.99,319.9,99.17,99.02
2015,1,4,9,299.48,306.83,20.98,28.08,4.27,319.6,99.15,99.0
2015,1,4,10,162.95,165.68,19.76,30.35,3.96,317.0,99.15,99.0
2015,1,4,11,40.1,40.58,15.65,46.02,2.83,314.1,99.18,99.03
2015,1,4,12,0.0,0.0,12.74,51.52,3.32,313.4,99.23,99.08
2015,1,4,13,0.0,0.0,11.83,52.44,3.42,313.9,99.29,99.14
2015,1,4,14,0.0,0.0,10.96,53.74,3.44,313.6,99.3,99.15
2015,1,4,15,0.0,0.0,10.16,55.02,3.45,312.5,99.29,99.14
2015,1,4,16,0.0,0.0,9.42,56.33,3.48,310.9,99.27,99.12
2015,1,4,17,0.0,0.0,8.84,57.02,3.6,308.9,99.24,99.08
2015,1,4,18,0.0,0.0,8.4,57.29,3.8,306.1,99.21,99.06
2015,1,4,19,0.0,0.0,8.04,57.51,4.06,303.8,99.18,99.03
2015,1,4,20,0.0,0.0,7.81,57.2,4.51,302.9,99.14,98.99
2015,1,4,21,0.0,0.0,7.42,57.64,4.62,302.2,99.1,98.94
2015,1,4,22,0.0,0.0,6.94,58.74,4.58,300.3,99.04,98.89
2015,1,4,23,0.0,0.0,6.58,59.23,4.63,297.7,99.03,98.88
2015,1,5,0,0.0,0.0,6.31,59.53,4.73,294.6,99.06,98.9
2015,1,5,1,0.0,0.0,6.1,59.76,4.89,291.4,99.1,98.95
2015,1,5,2,66.3,66.47,7.18,55.36,5.69,288.3,99.17,99.02
2015,1,5,3,237.98,240.95,9.63,47.43,5.53,285.9,99.22,99.07
2015,1,5,4,385.98,387.38,13.28,39.12,4.82,285.8,99.24,99.09
2015,1,5,5,480.25,480.25,17.69,28.36,6.75,302.3,99.16,99.01
2015,1,5,6,595.97,595.97,20.25,23.6,6.91,304.7,99.01,98.86
2015,1,5,7,599.88,599.88,21.68,22.13,6.6,302.6,98.87,98.72
2015,1,5,8,532.1,532.1,22.32,21.97,6.27,300.2,98.77,98.63
2015,1,5,9,403.5,403.5,22.07,23.0,6.12,298.2,98.71,98.57
2015,1,5,10,235.48,235.48,20.94,26.05,5.37,296.4,98.7,98.55
2015,1,5,11,60.38,60.38,16.7,40.11,3.43,295.0,98.73,98.58
2015,1,5,12,0.0,0.0,13.54,47.96,3.81,295.4,98.79,98.64
2015,1,5,13,0.0,0.0,12.94,49.18,4.05,297.5,98.87,98.72
2015,1,5,14,0.0,0.0,12.32,50.92,4.2,299.9,98.93,98.78
2015,1,5,15,0.0,0.0,11.6,53.42,4.2,301.5,98.97,98.82
2015,1,5,16,0.0,0.0,10.86,56.23,4.1,301.8,98.96,98.81
2015,1,5,17,0.0,0.0,10.11,59.08,3.95,301.2,98.91,98.76
2015,1,5,18,0.0,0.0,9.43,61.67,3.82,300.5,98.86,98.71
2015,1,5,19,0.0,0.0,8.86,63.64,3.77,299.9,98.81,98.66
2015,1,5,20,0.0,0.0,8.4,65.35,3.81,299.3,98.77,98.62
2015,1,5,21,0.0,0.0,7.82,67.65,3.6,297.1,98.73,98.57
2015,1,5,22,0.0,0.0,7.27,69.75,3.47,293.8,98.69,98.53
2015,1,5,23,0.0,0.0,6.9,71.06,3.47,289.7,98.68,98.53
2015,1,6,0,0.0,0.0,6.65,72.18,3.55,285.7,98.75,98.59
2015,1,6,1,0.0,0.0,6.4,73.65,3.56,281.7,98.82,98.66
2015,1,6,2,48.33,59.45,8.16,66.34,4.42,277.0,98.87,98.72
2015,1,6,3,147.82,188.68,10.64,57.77,4.47,272.3,98.92,98.77
2015,1,6,4,254.12,330.55,13.99,48.94,3.48,270.7,98.96,98.81
2015,1,6,5,348.98,441.15,18.25,38.32,4.63,290.0,98.92,98.77
2015,1,6,6,362.12,563.85,20.24,33.82,4.4,291.9,98.82,98.67
2015,1,6,7,464.25,557.45,21.42,31.17,3.89,290.8,98.72,98.58
2015,1,6,8,384.92,483.27,22.01,29.76,3.53,289.9,98.67,98.53
2015,1,6,9,297.52,352.3,21.84,30.12,3.26,289.9,98.64,98.5
2015,1,6,10,178.57,193.9,20.71,35.95,2.42,291.8,98.63,98.49
2015,1,6,11,45.95,47.55,16.99,50.82,2.17,296.8,98.67,98.52
2015,1,6,12,0.0,0.0,14.96,51.14,2.4,300.0,98.73,98.58
2015,1,6,13,0.0,0.0,14.1,53.02,2.45,302.3,98.8,98.65
2015,1,6,14,0.0,0.0,13.24,55.06,2.54,303.4,98.83,98.69
2015,1,6,15,0.0,0.0,12.29,57.94,2.68,302.8,98.85,98.7
2015,1,6,16,0.0,0.0,11.41,61.05,2.75,302.4,98.84,98.69
2015,1,6,17,0.0,0.0,10.64,63.99,2.76,304.2,98.82,98.66
2015,1,6,18,0.0,0.0,9.9,66.96,2.76,307.9,98.78,98.63
2015,1,6,19,0.0,0.0,9.18,69.86,2.77,311.9,98.77,98.61
2015,1,6,20,0.0,0.0,8.49,72.91,2.8,314.7,98.75,98.6
2015,1,6,21,0.0,0.0,7.96,75.11,2.71,315.4,98.72,98.57
2015,1,6,22,0.0,0.0,7.62,76.39,2.52,311.8,98.68,98.53
2015,1,6,23,0.0,0.0,7.3,77.94,2.41,304.7,98.69,98.54
2015,1,7,0,0.0,0.0,6.9,80.15,2.4,295.7,98.75,98.59
2015,1,7,1,0.0,0.0,6.4,83.34,2.5,287.2,98.82,98.66
2015,1,7,2,54.38,63.0,8.04,76.16,2.35,281.5,98.9,98.75
2015,1,7,3,133.7,203.23,11.32,61.73,3.46,280.1,98.98,98.83
2015,1,7,4,180.4,355.88,14.3,52.26,2.96,282.5,99.02,98.87
2015,1,7,5,221.55,474.2,18.02,39.06,3.64,296.6,98.99,98.84
2015,1,7,6,235.65,441.42,19.59,33.65,3.58,300.4,98.9,98.75
2015,1,7,7,291.95,453.77,20.64,30.14,3.59,302.4,98.82,98.67
2015,1,7,8,236.45,400.67,21.1,28.27,3.71,304.5,98.76,98.62
2015,1,7,9,192.65,296.73,20.53,29.01,3.46,307.0,98.74,98.59
2015,1,7,10,116.2,163.23,18.95,40.43,1.95,309.2,98.74,98.6
2015,1,7,11,35.33,42.45,16.05,48.06,1.93,305.1,98.79,98.65
2015,1,7,12,0.0,0.0,14.68,46.09,1.94,295.6,98.86,98.71
2015,1,7,13,0.0,0.0,13.91,47.17,1.93,285.0,98.9,98.75
2015,1,7,14,0.0,0.0,13.06,48.61,2.05,274.5,98.91,98.76
2015,1,7,15,0.0,0.0,11.59,52.62,2.52,271.8,98.93,98.78
2015,1,7,16,0.0,0.0,10.09,57.51,2.98,275.8,98.93,98.78
2015,1,7,17,0.0,0.0,9.12,60.56,3.26,282.4,98.92,98.77
2015,1,7,18,0.0,0.0,8.42,62.76,3.36,289.5,98.89,98.74
2015,1,7,19,0.0,0.0,7.79,64.75,3.36,295.0,98.88,98.73
2015,1,7,20,0.0,0.0,7.22,66.54,3.33,296.4,98.86,98.71
2015,1,7,21,0.0,0.0,6.7,67.81,3.25,293.6,98.83,98.68
2015,1,7,22,0.0,0.0,6.2,69.17,3.18,287.6,98.81,98.66
2015,1,7,23,0.0,0.0,5.76,70.3,3.17,281.1,98.83,98.68
2015,1,8,0,0.0,0.0,5.36,71.61,3.19,275.8,98.9,98.74
2015,1,8,1,0.0,0.0,5.02,73.03,3.2,272.9,98.98,98.83
2015,1,8,2,45.5,63.2,7.28,64.09,3.1,272.6,99.08,98.93
2015,1,8,3,121.43,206.45,10.62,51.43,3.99,273.7,99.17,99.02
2015,1,8,4,185.77,363.33,14.06,42.32,3.18,277.8,99.22,99.07
2015,1,8,5,174.43,485.02,17.99,31.3,3.8,286.7,99.2,99.05
2015,1,8,6,227.77,499.0,19.73,27.09,3.7,288.1,99.13,98.98
2015,1,8,7,207.4,501.1,20.97,23.99,3.67,289.1,99.05,98.91
2015,1,8,8,238.95,439.12,21.67,21.75,3.72,291.9,99.02,98.88
2015,1,8,9,194.15,321.88,21.62,20.72,3.41,293.5,99.04,98.89
2015,1,8,10,125.2,175.25,20.42,26.53,2.25,290.9,99.05,98.9
2015,1,8,11,39.75,45.75,17.12,38.3,1.68,285.5,99.09,98.94
2015,1,8,12,0.0,0.0,15.34,33.75,1.51,275.3,99.14,98.99
2015,1,8,13,0.0,0.0,14.81,33.06,1.35,262.8,99.21,99.06
2015,1,8,14,0.0,0.0,14.77,31.55,1.18,249.7,99.25,99.1
2015,1,8,15,0.0,0.0,14.21,31.74,1.0,251.9,99.27,99.12
2015,1,8,16,0.0,0.0,13.49,33.05,0.91,270.6,99.25,99.1
2015,1,8,17,0.0,0.0,12.66,34.66,0.93,286.3,99.22,99.07
2015,1,8,18,0.0,0.0,11.74,36.36,1.07,293.2,99.19,99.04
2015,1,8,19,0.0,0.0,10.53,39.38,1.21,291.9,99.15,99.0
2015,1,8,20,0.0,0.0,9.17,42.99,1.43,284.1,99.1,98.95
2015,1,8,21,0.0,0.0,8.43,44.46,1.71,278.1,99.06,98.91
2015,1,8,22,0.0,0.0,7.48,46.66,1.91,273.9,99.05,98.9
2015,1,8,23,0.0,0.0,6.56,49.07,2.1,271.9,99.09,98.94
2015,1,9,0,0.0,0.0,5.72,51.34,2.26,271.3,99.15,99.0
2015,1,9,1,0.0,0.0,4.92,53.78,2.43,270.0,99.24,99.08
2015,1,9,2,43.3,63.75,6.62,54.52,2.17,265.0,99.32,99.16
2015,1,9,3,108.88,204.65,10.41,38.03,2.6,263.1,99.38,99.23
2015,1,9,4,176.48,357.2,13.69,31.46,1.79,264.9,99.43,99.28
2015,1,9,5,226.23,475.17,18.22,21.94,2.4,273.6,99.39,99.24
2015,1,9,6,321.8,544.95,19.82,19.9,2.53,276.6,99.27,99.13
2015,1,9,7,362.9,546.17,20.82,18.69,2.42,276.4,99.15,99.01
2015,1,9,8,315.23,487.77,21.32,17.92,2.26,278.9,99.07,98.93
2015,1,9,9,247.45,362.77,21.03,17.98,2.23,283.2,99.04,98.9
2015,1,9,10,148.7,201.73,19.79,26.63,1.6,289.7,99.05,98.9
2015,1,9,11,45.9,53.7,16.93,33.67,1.45,310.8,99.07,98.92
2015,1,9,12,0.0,0.0,14.89,31.27,1.56,332.4,99.12,98.97
2015,1,9,13,0.0,0.0,13.67,32.84,1.82,346.0,99.19,99.04
2015,1,9,14,0.0,0.0,12.37,35.56,2.02,351.8,99.24,99.09
2015,1,9,15,0.0,0.0,11.21,37.56,2.15,350.4,99.26,99.11
2015,1,9,16,0.0,0.0,9.93,40.65,2.36,344.8,99.25,99.1
2015,1,9,17,0.0,0.0,8.7,43.73,2.59,338.3,99.23,99.08
2015,1,9,18,0.0,0.0,7.63,46.25,2.79,331.0,99.2,99.04
2015,1,9,19,0.0,0.0,6.87,47.75,2.86,326.4,99.16,99.01
2015,1,9,20,0.0,0.0,6.16,49.27,2.92,321.4,99.1,98.95
2015,1,9,21,0.0,0.0,5.61,50.28,2.88,313.7,99.05,98.89
2015,1,9,22,0.0,0.0,5.17,50.92,2.78,303.1,99.0,98.84
2015,1,9,23,0.0,0.0,4.61,52.39,2.8,291.8,99.0,98.84
2015,1,10,0,0.0,0.0,4.0,53.93,2.93,283.0,99.05,98.9
2015,1,10,1,0.0,0.0,3.52,55.42,3.01,278.0,99.11,98.96
2015,1,10,2,76.72,84.47,5.76,51.74,2.68,276.2,99.2,99.04
2015,1,10,3,201.62,262.88,9.68,36.58,3.55,278.4,99.28,99.12
2015,1,10,4,313.67,440.15,13.09,30.57,2.84,281.4,99.31,99.16
2015,1,10,5,436.0,571.62,17.63,21.72,3.85,284.8,99.27,99.12
2015,1,10,6,541.7,555.12,19.45,19.14,3.86,287.0,99.14,99.0
2015,1,10,7,400.38,572.22,20.59,17.75,3.68,289.7,99.03,98.88
2015,1,10,8,480.4,501.65,21.29,16.68,3.68,290.8,98.97,98.82
2015,1,10,9,359.38,377.5,21.25,16.47,3.83,293.1,98.95,98.81
2015,1,10,10,213.52,218.5,19.78,22.23,2.95,297.4,98.98,98.83
2015,1,10,11,57.97,59.22,14.99,38.47,2.74,301.9,99.02,98.87
2015,1,10,12,0.0,0.0,11.97,40.19,3.13,301.6,99.08,98.93
2015,1,10,13,0.0,0.0,10.92,41.17,3.21,300.1,99.14,98.99
2015,1,10,14,0.0,0.0,10.06,42.07,3.29,299.1,99.19,99.04
2015,1,10,15,0.0,0.0,9.41,42.88,3.37,299.5,99.21,99.05
2015,1,10,16,0.0,0.0,8.8,43.56,3.45,301.6,99.2,99.05
2015,1,10,17,0.0,0.0,8.31,44.15,3.51,303.4,99.18,99.03
2015,1,10,18,0.0,0.0,7.78,44.87,3.58,304.8,99.17,99.02
2015,1,10,19,0.0,0.0,7.13,45.8,3.61,306.6,99.17,99.01
2015,1,10,20,0.0,0.0,6.46,47.3,3.55,305.6,99.15,99.0
2015,1,10,21,0.0,0.0,5.87,49.07,3.44,301.8,99.1,98.94
2015,1,10,22,0.0,0.0,5.36,50.28,3.36,297.9,99.06,98.9
2015,1,10,23,0.0,0.0,4.91,51.34,3.34,295.3,99.07,98.91
2015,1,11,0,0.0,0.0,4.49,52.52,3.32,294.4,99.1,98.95
2015,1,11,1,0.0,0.0,4.13,53.5,3.26,293.7,99.17,99.01
2015,1,11,2,42.65,66.53,6.49,47.89,2.9,291.4,99.22,99.07
2015,1,11,3,110.55,215.5,10.21,34.29,3.74,288.2,99.3,99.15
2015,1,11,4,184.93,375.42,13.56,29.14,2.83,283.5,99.33,99.18
2015,1,11,5,301.92,500.02,18.11,21.54,3.33,294.1,99.28,99.13
2015,1,11,6,360.2,475.67,20.95,17.77,3.59,294.4,99.13,98.99
2015,1,11,7,403.67,489.23,22.54,16.56,3.6,292.2,99.0,98.85
2015,1,11,8,389.2,437.27,23.42,15.86,3.92,295.5,98.93,98.79
2015,1,11,9,288.92,327.38,23.41,15.65,4.19,298.9,98.91,98.76
2015,1,11,10,162.57,183.98,22.04,19.27,3.35,300.3,98.92,98.78
2015,1,11,11,50.15,52.1,16.95,36.3,2.7,298.7,98.97,98.82
2015,1,11,12,0.0,0.0,14.03,35.99,2.89,293.5,99.03,98.88
2015,1,11,13,0.0,0.0,13.24,35.52,2.77,286.6,99.1,98.95
2015,1,11,14,0.0,0.0,12.59,35.23,2.63,279.6,99.15,99.0
2015,1,11,15,0.0,0.0,12.0,34.83,2.53,275.2,99.18,99.03
2015,1,11,16,0.0,0.0,11.27,35.48,2.53,276.4,99.17,99.02
2015,1,11,17,0.0,0.0,10.32,37.15,2.62,284.1,99.15,98.99
2015,1,11,18,0.0,0.0,9.34,39.26,2.73,293.1,99.11,98.96
2015,1,11,19,0.0,0.0,8.39,41.43,2.85,300.8,99.1,98.95
2015,1,11,20,0.0,0.0,7.46,43.51,2.98,305.4,99.08,98.93
2015,1,11,21,0.0,0.0,7.17,43.43,2.77,304.6,99.03,98.88
2015,1,11,22,0.0,0.0,7.16,42.5,2.4,295.4,99.0,98.85
2015,1,11,23,0.0,0.0,7.0,42.35,2.24,275.6,99.02,98.87
2015,1,12,0,0.0,0.0,6.29,44.49,2.47,253.3,99.08,98.92
2015,1,12,1,0.0,0.0,5.23,48.64,2.93,238.8,99.15,99.0
2015,1,12,2,60.4,72.8,7.51,47.41,2.89,228.9,99.22,99.07
2015,1,12,3,151.2,232.12,12.43,32.24,3.87,224.3,99.3,99.15
2015,1,12,4,195.35,388.48,15.83,27.37,2.7,219.9,99.32,99.17
2015,1,12,5,271.1,518.2,20.28,18.94,2.49,217.7,99.27,99.12
2015,1,12,6,332.95,443.6,22.4,15.97,1.28,217.7,99.15,99.01
2015,1,12,7,392.73,441.1,24.02,14.04,0.15,15.9,99.04,98.9
2015,1,12,8,368.23,379.35,24.58,13.41,1.04,60.7,98.97,98.82
2015,1,12,9,248.27,274.23,23.78,14.28,1.32,80.4,98.93,98.79
2015,1,12,10,135.05,148.5,21.94,24.86,1.2,114.0,98.92,98.77
2015,1,12,11,41.3,43.15,17.56,35.3,2.18,139.1,98.93,98.78
2015,1,12,12,0.0,0.0,13.84,37.42,3.18,150.9,98.97,98.82
2015,1,12,13,0.0,0.0,12.24,40.13,3.62,158.0,99.03,98.88
2015,1,12,14,0.0,0.0,11.19,42.09,3.72,162.1,99.1,98.95
2015,1,12,15,0.0,0.0,10.19,44.88,3.6,165.7,99.15,99.0
2015,1,12,16,0.0,0.0,9.37,47.43,3.44,170.0,99.17,99.02
2015,1,12,17,0.0,0.0,8.72,49.12,3.32,175.7,99.15,98.99
2015,1,12,18,0.0,0.0,8.17,50.53,3.19,181.8,99.1,98.95
2015,1,12,19,0.0,0.0,7.71,51.67,3.11,187.4,99.07,98.92
2015,1,12,20,0.0,0.0,7.44,52.47,2.94,191.8,99.05,98.9
2015,1,12,21,0.0,0.0,7.02,53.65,2.89,192.8,98.99,98.84
2015,1,12,22,0.0,0.0,6.44,55.14,2.86,189.3,98.92,98.77
2015,1,12,23,0.0,0.0,5.86,56.7,2.87,189.0,98.91,98.76
2015,1,13,0,0.0,0.0,5.28,58.88,2.93,190.0,98.95,98.8
2015,1,13,1,0.0,0.0,4.75,61.13,3.06,190.7,98.99,98.84
2015,1,13,2,54.25,58.25,6.88,55.95,2.82,190.8,99.03,98.87
2015,1,13,3,165.27,191.12,10.88,42.1,3.71,185.7,99.08,98.93
2015,1,13,4,272.6,344.08,14.2,35.53,2.77,166.7,99.11,98.96
2015,1,13,5,380.0,468.58,19.18,24.74,3.79,168.4,99.08,98.93
2015,1,13,6,406.52,512.58,21.59,20.13,4.08,163.2,98.97,98.82
2015,1,13,7,427.3,501.83,22.52,19.28,4.23,155.3,98.84,98.7
2015,1,13,8,406.02,451.0,22.77,19.43,4.48,148.0,98.76,98.61
2015,1,13,9,302.27,333.08,22.27,20.37,4.77,145.1,98.69,98.55
2015,1,13,10,172.57,185.32,20.7,24.55,4.02,142.0,98.67,98.52
2015,1,13,11,49.83,53.47,16.36,36.39,3.4,133.9,98.68,98.53
2015,1,13,12,0.0,0.0,13.71,40.46,3.92,131.8,98.72,98.57
2015,1,13,13,0.0,0.0,13.0,40.72,4.11,131.1,98.78,98.63
2015,1,13,14,0.0,0.0,12.41,41.02,4.2,130.6,98.82,98.67
2015,1,13,15,0.0,0.0,11.86,40.95,4.31,130.2,98.83,98.68
2015,1,13,16,0.0,0.0,11.69,40.02,4.52,130.2,98.81,98.66
2015,1,13,17,0.0,0.0,11.17,40.45,4.55,130.9,98.77,98.62
2015,1,13,18,0.0,0.0,10.42,42.51,4.24,133.2,98.72,98.57
2015,1,13,19,0.0,0.0,9.66,45.77,3.78,137.6,98.71,98.56
2015,1,13,20,0.0,0.0,9.02,50.67,3.26,143.7,98.71,98.55
2015,1,13,21,0.0,0.0,8.76,54.22,2.89,148.7,98.69,98.53
2015,1,13,22,0.0,0.0,8.49,57.05,2.75,151.8,98.65,98.5
2015,1,13,23,0.0,0.0,8.3,58.65,2.76,154.3,98.64,98.49
2015,1,14,0,0.0,0.0,8.36,59.15,2.94,156.3,98.68,98.53
