Latitude (decimal degrees):	28.627
Longitude (decimal degrees):	77.172
Elevation (m):	243
Radiation database:	PVGIS-ERA5


Slope: 15 deg. 
Azimuth: -179 deg. 
Nominal power of the PV system (c-Si) (kWp):	50.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20150826:2030,0.0,0.0,0.0,27.42,1.31,0.0
20150826:2130,0.0,0.0,0.0,27.25,1.24,0.0
20150826:2230,0.0,0.0,0.0,27.21,1.66,0.0
20150826:2330,0.0,0.0,0.0,27.0,2.21,0.0
20150827:0030,0.0,0.0,-0.06,26.56,2.34,0.0
20150827:0130,3238.0,107.4,12.97,26.21,1.79,0.0
20150827:0230,8770.5,244.37,26.12,26.85,1.45,0.0
20150827:0330,14953.0,404.41,39.19,27.72,1.1,0.0
20150827:0430,19233.0,526.85,51.84,28.85,0.83,0.0
20150827:0530,18699.0,513.74,63.22,30.2,0.9,0.0
20150827:0630,25978.5,739.08,70.76,30.96,1.24,0.0
20150827:0730,25014.5,715.85,69.55,32.43,1.1,0.0
20150827:0830,22523.0,637.67,60.65,32.85,1.1,0.0
20150827:0930,18788.0,524.3,48.83,33.2,1.24,0.0
20150827:1030,15140.5,421.1,36.03,33.18,1.72,0.0
20150827:1130,7767.0,227.61,22.92,33.1,2.07,0.0
20150827:1230,1787.0,71.02,9.77,32.06,1.45,0.0
20150827:1330,0.0,0.0,-3.19,31.36,0.97,0.0
20150827:1430,0.0,0.0,0.0,30.92,0.14,0.0
20150827:1530,0.0,0.0,0.0,30.07,0.69,0.0
20150827:1630,0.0,0.0,0.0,28.88,1.24,0.0
20150827:1730,0.0,0.0,0.0,28.25,1.66,0.0
20150827:1830,0.0,0.0,0.0,27.79,2.14,0.0
20150827:1930,0.0,0.0,0.0,27.63,1.38,0.0
20150827:2030,0.0,0.0,0.0,27.37,1.03,0.0
20150827:2130,0.0,0.0,0.0,26.96,2.76,0.0
20150827:2230,0.0,0.0,0.0,25.71,3.86,0.0
20150827:2330,0.0,0.0,0.0,25.22,2.83,0.0
20150828:0030,0.0,0.0,-0.16,25.05,2.41,0.0
20150828:0130,3512.0,113.8,12.87,24.99,2.34,0.0
20150828:0230,10803.5,295.32,26.03,25.85,2.97,0.0
20150828:0330,14976.5,401.35,39.09,27.85,2.69,0.0
20150828:0430,21707.0,591.4,51.7,28.94,2.28,0.0
20150828:0530,23245.0,650.59,63.02,30.28,1.24,0.0
20150828:0630,24577.5,698.76,70.44,31.18,0.97,0.0
20150828:0730,24747.5,704.6,69.2,32.16,1.17,0.0
20150828:0830,24092.0,682.4,60.36,32.72,1.59,0.0
20150828:0930,19092.5,529.41,48.57,33.29,1.86,0.0
20150828:1030,13866.0,384.06,35.8,33.23,2.21,0.0
20150828:1130,7692.0,224.98,22.69,32.27,2.34,0.0
20150828:1230,2133.5,81.36,9.54,31.86,1.93,0.0
20150828:1330,0.0,0.0,-3.43,31.13,1.59,0.0
20150828:1430,0.0,0.0,0.0,30.28,1.17,0.0
20150828:1530,0.0,0.0,0.0,29.64,0.62,0.0
20150828:1630,0.0,0.0,0.0,29.11,0.69,0.0
20150828:1730,0.0,0.0,0.0,28.38,0.83,0.0
20150828:1830,0.0,0.0,0.0,28.61,0.55,0.0
20150828:1930,0.0,0.0,0.0,28.65,0.62,0.0
20150828:2030,0.0,0.0,0.0,28.33,0.55,0.0
20150828:2130,0.0,0.0,0.0,27.92,0.34,0.0
20150828:2230,0.0,0.0,0.0,27.62,0.34,0.0
20150828:2330,0.0,0.0,0.0,26.53,1.66,0.0
20150829:0030,0.0,0.0,-0.27,26.48,1.59,0.0
20150829:0130,3242.0,108.55,12.78,26.46,1.38,0.0
20150829:0230,8364.5,235.05,25.94,27.9,1.59,0.0
20150829:0330,15739.0,425.67,38.98,29.17,2.14,0.0
20150829:0430,20762.5,565.47,51.57,30.55,2.62,0.0
20150829:0530,24366.5,674.29,62.81,31.4,2.62,0.0
20150829:0630,26468.0,743.67,70.12,32.25,2.62,0.0
20150829:0730,23898.0,668.86,68.84,33.12,2.48,0.0
20150829:0830,24432.0,684.32,60.06,33.48,2.69,0.0
20150829:0930,20482.0,565.63,48.32,33.66,2.97,0.0
20150829:1030,14228.5,393.32,35.56,33.82,3.1,0.0
20150829:1130,8670.0,253.06,22.46,33.4,3.24,0.0
20150829:1230,2025.5,79.58,9.31,32.38,2.48,0.0
20150829:1330,0.0,0.0,-3.68,31.44,1.86,0.0
20150829:1430,0.0,0.0,0.0,30.48,1.79,0.0
20150829:1530,0.0,0.0,0.0,29.57,1.52,0.0
20150829:1630,0.0,0.0,0.0,28.81,1.17,0.0
20150829:1730,0.0,0.0,0.0,28.26,1.1,0.0
20150829:1830,0.0,0.0,0.0,27.68,1.24,0.0
20150829:1930,0.0,0.0,0.0,27.32,1.24,0.0
20150829:2030,0.0,0.0,0.0,27.25,1.1,0.0
20150829:2130,0.0,0.0,0.0,27.01,1.1,0.0
20150829:2230,0.0,0.0,0.0,26.66,1.1,0.0
20150829:2330,0.0,0.0,0.0,26.42,1.1,0.0
20150830:0030,0.0,0.0,-0.37,26.06,1.45,0.0
20150830:0130,2935.5,99.99,12.69,26.3,1.72,0.0
20150830:0230,8289.5,232.94,25.84,27.71,1.72,0.0
20150830:0330,14178.5,383.7,38.88,29.11,2.0,0.0
20150830:0430,19089.0,518.14,51.43,30.38,2.34,0.0
20150830:0530,23115.0,636.47,62.6,31.44,2.69,0.0
20150830:0630,26468.0,739.96,69.8,32.65,3.17,0.0
20150830:0730,25252.0,701.72,68.49,33.53,3.59,0.0
20150830:0830,20527.0,562.31,59.76,34.0,3.59,0.0
20150830:0930,19397.5,532.3,48.06,34.12,3.52,0.0
20150830:1030,14116.5,390.08,35.32,34.23,3.66,0.0
20150830:1130,7695.5,226.72,22.23,33.85,3.38,0.0
20150830:1230,1910.5,76.94,9.08,32.54,2.48,0.0
20150830:1330,0.0,0.0,-3.92,31.59,2.0,0.0
20150830:1430,0.0,0.0,0.0,30.55,1.79,0.0
20150830:1530,0.0,0.0,0.0,29.54,1.38,0.0
20150830:1630,0.0,0.0,0.0,29.33,0.9,0.0
20150830:1730,0.0,0.0,0.0,30.01,0.34,0.0
20150830:1830,0.0,0.0,0.0,27.95,1.38,0.0
20150830:1930,0.0,0.0,0.0,28.73,0.55,0.0
20150830:2030,0.0,0.0,0.0,27.43,1.03,0.0
20150830:2130,0.0,0.0,0.0,26.55,1.38,0.0
20150830:2230,0.0,0.0,0.0,26.36,1.38,0.0
20150830:2330,0.0,0.0,0.0,26.5,1.66,0.0
20150831:0030,0.0,0.0,-0.48,26.46,2.21,0.0
20150831:0130,3573.5,118.96,12.59,26.6,2.76,0.0
20150831:0230,10921.0,302.0,25.75,27.77,3.24,0.0
20150831:0330,17999.5,481.86,38.77,29.36,4.28,0.0
20150831:0430,23476.0,630.86,51.28,30.75,5.17,0.0
20150831:0530,26976.5,734.55,62.38,32.05,5.52,0.0
20150831:0630,28350.0,780.17,69.47,33.2,5.59,0.0
20150831:0730,25603.0,703.8,68.12,33.69,4.83,0.0
20150831:0830,23955.5,657.58,59.46,34.04,4.76,0.0
20150831:0930,20698.5,565.27,47.79,34.22,4.83,0.0
20150831:1030,15415.5,424.28,35.08,34.19,4.55,0.0
20150831:1130,8747.0,256.84,21.99,33.88,3.72,0.0
20150831:1230,2160.0,85.39,8.84,32.99,3.03,0.0
20150831:1330,0.0,0.0,-4.17,31.41,2.55,0.0
20150831:1430,0.0,0.0,0.0,30.16,2.28,0.0
20150831:1530,0.0,0.0,0.0,29.09,1.79,0.0
20150831:1630,0.0,0.0,0.0,28.02,1.31,0.0
20150831:1730,0.0,0.0,0.0,28.88,0.69,0.0
20150831:1830,0.0,0.0,0.0,26.79,1.59,0.0
20150831:1930,0.0,0.0,0.0,26.01,1.79,0.0
20150831:2030,0.0,0.0,0.0,25.69,1.93,0.0
20150831:2130,0.0,0.0,0.0,25.5,2.14,0.0
20150831:2230,0.0,0.0,0.0,25.48,2.48,0.0
20150831:2330,0.0,0.0,0.0,25.53,2.76,0.0
20150901:0030,0.0,0.0,-0.58,25.6,2.9,0.0
20150901:0130,3827.5,126.28,12.5,25.7,3.1,0.0
20150901:0230,11145.0,306.72,25.65,26.86,3.45,0.0
20150901:0330,18130.5,484.71,38.66,28.82,4.14,0.0
20150901:0430,23607.0,634.02,51.14,30.45,5.1,0.0
20150901:0530,26318.5,715.67,62.16,31.88,5.31,0.0
20150901:0630,28398.5,782.78,69.13,33.13,5.38,0.0
20150901:0730,27753.5,766.59,67.76,33.56,5.17,0.0
20150901:0830,25509.5,702.87,59.15,34.13,4.97,0.0
20150901:0930,20513.0,560.87,47.53,34.43,4.76,0.0
20150901:1030,15619.0,431.3,34.83,34.36,4.28,0.0
20150901:1130,7575.5,225.08,21.75,33.96,3.31,0.0
20150901:1230,2052.0,82.74,8.6,32.73,2.41,0.0
20150901:1330,0.0,0.0,-4.42,31.24,2.14,0.0
20150901:1430,0.0,0.0,0.0,29.67,1.86,0.0
20150901:1530,0.0,0.0,0.0,28.05,1.52,0.0
20150901:1630,0.0,0.0,0.0,27.85,0.97,0.0
20150901:1730,0.0,0.0,0.0,28.3,0.21,0.0
20150901:1830,0.0,0.0,0.0,25.87,1.38,0.0
20150901:1930,0.0,0.0,0.0,25.47,2.14,0.0
20150901:2030,0.0,0.0,0.0,25.43,2.34,0.0
20150901:2130,0.0,0.0,0.0,25.4,2.62,0.0
20150901:2230,0.0,0.0,0.0,25.38,2.76,0.0
20150901:2330,0.0,0.0,0.0,25.4,3.03,0.0
20150902:0030,0.0,0.0,-0.68,25.54,3.38,0.0
20150902:0130,3432.5,115.25,12.4,25.63,3.66,0.0
20150902:0230,10819.0,297.1,25.56,26.5,4.0,0.0
20150902:0330,17903.0,475.94,38.55,28.1,4.48,0.0
20150902:0430,23512.0,628.4,50.99,29.76,5.24,0.0
20150902:0530,26977.0,732.07,61.94,31.31,5.45,0.0
20150902:0630,28131.5,772.21,68.8,32.58,5.45,0.0
20150902:0730,23175.0,630.99,67.39,33.1,4.62,0.0
20150902:0830,21749.0,593.65,58.83,33.36,4.21,0.0
20150902:0930,17856.0,486.77,47.25,33.7,3.93,0.0
20150902:1030,14536.0,401.95,34.58,33.74,3.52,0.0
20150902:1130,7391.5,220.47,21.51,33.48,2.9,0.0
20150902:1230,1919.0,78.25,8.35,32.57,2.0,0.0
20150902:1330,0.0,0.0,-4.67,31.13,2.07,0.0
20150902:1430,0.0,0.0,0.0,29.46,2.21,0.0
20150902:1530,0.0,0.0,0.0,28.13,2.14,0.0
20150902:1630,0.0,0.0,0.0,27.1,2.14,0.0
20150902:1730,0.0,0.0,0.0,26.26,2.21,0.0
20150902:1830,0.0,0.0,0.0,25.69,2.21,0.0
20150902:1930,0.0,0.0,0.0,25.38,2.28,0.0
20150902:2030,0.0,0.0,0.0,25.27,2.55,0.0
20150902:2130,0.0,0.0,0.0,25.26,2.83,0.0
20150902:2230,0.0,0.0,0.0,25.36,3.03,0.0
20150902:2330,0.0,0.0,0.0,25.34,3.38,0.0
20150903:0030,0.0,0.0,-0.79,25.25,3.52,0.0
20150903:0130,3747.0,124.61,12.31,25.13,3.59,0.0
20150903:0230,11152.0,306.09,25.46,25.97,3.66,0.0
20150903:0330,18242.5,486.36,38.44,27.75,3.86,0.0
20150903:0430,23613.0,634.18,50.84,29.47,4.48,0.0
20150903:0530,26966.0,737.46,61.72,31.05,4.48,0.0
20150903:0630,27882.5,771.69,68.46,32.38,4.41,0.0
20150903:0730,27271.0,761.28,67.02,33.15,3.79,0.0
20150903:0830,25269.0,707.15,58.51,33.78,3.24,0.0
20150903:0930,20640.5,572.72,46.98,34.19,2.97,0.0
20150903:1030,12413.5,346.32,34.33,34.33,2.76,0.0
20150903:1130,7099.0,212.45,21.26,33.59,2.34,0.0
20150903:1230,1805.5,75.14,8.11,32.43,2.21,0.0
20150903:1330,0.0,0.0,-4.93,30.82,2.07,0.0
20150903:1430,0.0,0.0,0.0,29.23,1.52,0.0
20150903:1530,0.0,0.0,0.0,28.65,0.83,0.0
20150903:1630,0.0,0.0,0.0,28.98,0.48,0.0
20150903:1730,0.0,0.0,0.0,27.07,1.17,0.0
20150903:1830,0.0,0.0,0.0,25.62,1.66,0.0
20150903:1930,0.0,0.0,0.0,27.71,0.55,0.0
20150903:2030,0.0,0.0,0.0,27.52,0.55,0.0
20150903:2130,0.0,0.0,0.0,27.25,0.55,0.0
20150903:2230,0.0,0.0,0.0,27.09,0.48,0.0
20150903:2330,0.0,0.0,0.0,26.48,0.69,0.0
20150904:0030,0.0,0.0,-0.89,24.07,1.52,0.0
20150904:0130,3468.0,116.11,12.21,23.96,2.0,0.0
20150904:0230,10494.5,291.14,25.36,25.86,1.86,0.0
20150904:0330,16554.5,445.87,38.32,28.12,2.41,0.0
20150904:0430,21657.5,589.04,50.69,29.81,2.69,0.0
20150904:0530,25484.0,706.28,61.49,31.46,2.97,0.0
20150904:0630,26943.0,757.23,68.12,33.01,3.1,0.0
20150904:0730,25230.5,707.71,66.65,33.93,3.03,0.0
20150904:0830,23324.5,648.73,58.19,34.5,3.45,0.0
20150904:0930,19011.5,523.67,46.7,34.74,3.66,0.0
20150904:1030,14044.0,390.69,34.07,34.73,3.66,0.0
20150904:1130,7451.0,224.15,21.02,34.06,2.55,0.0
20150904:1230,1658.5,71.14,7.86,33.12,1.66,0.0
20150904:1330,0.0,0.0,-5.18,31.57,1.52,0.0
20150904:1430,0.0,0.0,0.0,29.84,1.17,0.0
20150904:1530,0.0,0.0,0.0,29.3,0.97,0.0
20150904:1630,0.0,0.0,0.0,29.19,0.76,0.0
20150904:1730,0.0,0.0,0.0,27.46,1.1,0.0
20150904:1830,0.0,0.0,0.0,25.67,1.59,0.0
20150904:1930,0.0,0.0,0.0,24.87,1.72,0.0
20150904:2030,0.0,0.0,0.0,24.25,1.93,0.0
20150904:2130,0.0,0.0,0.0,23.94,1.93,0.0
20150904:2230,0.0,0.0,0.0,23.55,2.14,0.0
20150904:2330,0.0,0.0,0.0,23.27,2.21,0.0
20150905:0030,0.0,0.0,-0.99,23.11,2.41,0.0
20150905:0130,3533.5,118.15,12.12,23.17,2.62,0.0
20150905:0230,11061.0,303.89,25.26,24.75,2.69,0.0
20150905:0330,18068.5,484.04,38.21,27.53,3.1,0.0
20150905:0430,23239.0,630.33,50.53,29.95,3.59,0.0
20150905:0530,26329.0,726.3,61.25,31.9,3.93,0.0
20150905:0630,26805.5,744.8,67.78,33.29,4.14,0.0
20150905:0730,25288.0,696.59,66.28,34.29,4.97,0.0
20150905:0830,22189.0,605.86,57.87,34.68,5.24,0.0
20150905:0930,19719.0,538.4,46.42,34.72,5.03,0.0
20150905:1030,13046.0,361.76,33.81,34.7,4.62,0.0
20150905:1130,6779.0,204.76,20.77,34.06,3.38,0.0
20150905:1230,1567.0,68.18,7.61,32.8,2.55,0.0
20150905:1330,0.0,0.0,-5.44,31.18,2.34,0.0
20150905:1430,0.0,0.0,0.0,29.79,2.28,0.0
20150905:1530,0.0,0.0,0.0,28.74,2.07,0.0
20150905:1630,0.0,0.0,0.0,27.44,1.72,0.0
20150905:1730,0.0,0.0,0.0,26.76,1.17,0.0
20150905:1830,0.0,0.0,0.0,25.78,1.31,0.0
20150905:1930,0.0,0.0,0.0,24.68,1.72,0.0
20150905:2030,0.0,0.0,0.0,24.15,1.93,0.0
20150905:2130,0.0,0.0,0.0,23.68,2.07,0.0
20150905:2230,0.0,0.0,0.0,23.47,2.21,0.0
20150905:2330,0.0,0.0,0.0,23.32,2.34,0.0
20150906:0030,0.0,0.0,-1.1,23.27,2.55,0.0
20150906:0130,3614.5,121.17,12.02,23.53,2.55,0.0
20150906:0230,10769.0,297.3,25.16,24.98,2.34,0.0
20150906:0330,17868.5,480.11,38.09,27.79,2.9,0.0
20150906:0430,23182.5,629.94,50.37,30.16,3.52,0.0
20150906:0530,26384.5,728.8,61.02,32.12,3.93,0.0
20150906:0630,27008.5,752.47,67.43,33.63,4.14,0.0
20150906:0730,24485.0,676.67,65.9,34.28,4.28,0.0
20150906:0830,19087.0,519.61,57.54,34.69,4.55,0.0
20150906:0930,17792.0,486.94,46.13,34.57,4.34,0.0
20150906:1030,12168.0,338.4,33.55,34.4,4.14,0.0
20150906:1130,6576.5,199.32,20.51,33.7,3.1,0.0
20150906:1230,1127.0,52.22,7.36,32.44,2.34,0.0
20150906:1330,0.0,0.0,-5.7,30.9,2.21,0.0
20150906:1430,0.0,0.0,0.0,29.59,2.07,0.0
20150906:1530,0.0,0.0,0.0,28.5,2.0,0.0
20150906:1630,0.0,0.0,0.0,27.24,1.86,0.0
20150906:1730,0.0,0.0,0.0,26.19,1.45,0.0
20150906:1830,0.0,0.0,0.0,25.34,1.86,0.0
20150906:1930,0.0,0.0,0.0,24.7,2.07,0.0
20150906:2030,0.0,0.0,0.0,24.42,2.21,0.0
20150906:2130,0.0,0.0,0.0,24.26,2.41,0.0
20150906:2230,0.0,0.0,0.0,24.16,2.48,0.0
20150906:2330,0.0,0.0,0.0,24.1,2.62,0.0
20150907:0030,0.0,0.0,-1.2,24.09,2.76,0.0
20150907:0130,3501.5,118.49,11.93,24.21,2.83,0.0
20150907:0230,10721.0,296.66,25.06,25.66,2.76,0.0
20150907:0330,17646.5,473.52,37.97,28.31,3.45,0.0
20150907:0430,22975.5,621.35,50.21,30.44,4.14,0.0
20150907:0530,26333.0,724.28,60.78,32.2,4.34,0.0
20150907:0630,26720.0,741.01,67.08,33.62,4.41,0.0
20150907:0730,24611.0,680.82,65.52,34.39,4.21,0.0
20150907:0830,21157.5,580.79,57.21,34.59,4.07,0.0
20150907:0930,17591.5,482.27,45.84,34.63,4.0,0.0
20150907:1030,11975.5,333.99,33.28,34.54,3.93,0.0
20150907:1130,6740.5,205.43,20.26,33.91,2.83,0.0
20150907:1230,1277.5,59.1,7.1,32.87,2.21,0.0
20150907:1330,0.0,0.0,-5.97,31.41,2.21,0.0
20150907:1430,0.0,0.0,0.0,29.93,2.0,0.0
20150907:1530,0.0,0.0,0.0,28.42,1.66,0.0
20150907:1630,0.0,0.0,0.0,27.72,1.24,0.0
20150907:1730,0.0,0.0,0.0,26.81,1.31,0.0
20150907:1830,0.0,0.0,0.0,25.7,1.45,0.0
20150907:1930,0.0,0.0,0.0,26.23,0.9,0.0
20150907:2030,0.0,0.0,0.0,25.0,1.24,0.0
20150907:2130,0.0,0.0,0.0,24.09,1.45,0.0
20150907:2230,0.0,0.0,0.0,23.36,1.66,0.0
20150907:2330,0.0,0.0,0.0,23.02,1.86,0.0
20150908:0030,0.0,0.0,-1.3,22.92,2.14,0.0
20150908:0130,3457.0,117.07,11.83,23.14,2.28,0.0
20150908:0230,10611.5,294.01,24.96,25.19,2.34,0.0
20150908:0330,17506.5,470.7,37.85,28.07,3.03,0.0
20150908:0430,22790.5,617.54,50.05,30.3,3.79,0.0
20150908:0530,26248.5,722.33,60.53,32.21,4.28,0.0
20150908:0630,27083.0,751.32,66.73,33.66,4.55,0.0
20150908:0730,26208.5,725.34,65.14,34.45,4.97,0.0
20150908:0830,22635.0,620.62,56.88,35.04,5.17,0.0
20150908:0930,16530.5,450.73,45.55,35.06,5.17,0.0
20150908:1030,12650.0,351.49,33.02,34.65,4.97,0.0
20150908:1130,5754.0,179.16,20.0,34.17,4.21,0.0
20150908:1230,1210.5,57.94,6.84,33.0,3.24,0.0
20150908:1330,0.0,0.0,-6.23,31.42,2.9,0.0
20150908:1430,0.0,0.0,0.0,30.27,2.76,0.0
20150908:1530,0.0,0.0,0.0,29.4,2.55,0.0
20150908:1630,0.0,0.0,0.0,28.5,2.55,0.0
20150908:1730,0.0,0.0,0.0,27.75,2.83,0.0
20150908:1830,0.0,0.0,0.0,27.27,2.9,0.0
20150908:1930,0.0,0.0,0.0,26.87,2.76,0.0
20150908:2030,0.0,0.0,0.0,26.3,2.69,0.0
20150908:2130,0.0,0.0,0.0,25.7,2.48,0.0
20150908:2230,0.0,0.0,0.0,25.04,2.34,0.0
20150908:2330,0.0,0.0,0.0,24.45,2.34,0.0
20150909:0030,0.0,0.0,-1.4,23.94,2.41,0.0
20150909:0130,3392.5,115.9,11.73,23.7,2.41,0.0
20150909:0230,10609.5,294.72,24.86,25.3,2.21,0.0
20150909:0330,17533.5,472.9,37.72,28.05,2.69,0.0
20150909:0430,22689.5,619.23,49.88,30.39,3.1,0.0
20150909:0530,26044.0,722.69,60.28,32.31,3.52,0.0
20150909:0630,27695.5,775.65,66.37,33.73,4.0,0.0
20150909:0730,25614.5,708.73,64.76,34.46,4.76,0.0
20150909:0830,23582.0,648.44,56.54,35.04,5.17,0.0
20150909:0930,19528.5,535.07,45.26,35.28,5.17,0.0
20150909:1030,13448.5,375.03,32.75,35.27,4.9,0.0
20150909:1130,7310.0,223.59,19.74,34.71,3.93,0.0
20150909:1230,1192.0,57.62,6.59,33.48,2.97,0.0
20150909:1330,0.0,0.0,0.0,31.65,2.55,0.0
20150909:1430,0.0,0.0,0.0,30.02,2.48,0.0
20150909:1530,0.0,0.0,0.0,28.86,2.21,0.0
20150909:1630,0.0,0.0,0.0,27.65,2.07,0.0
20150909:1730,0.0,0.0,0.0,26.49,2.0,0.0
20150909:1830,0.0,0.0,0.0,25.53,2.0,0.0
20150909:1930,0.0,0.0,0.0,24.41,1.79,0.0
20150909:2030,0.0,0.0,0.0,23.77,1.79,0.0
20150909:2130,0.0,0.0,0.0,23.3,1.86,0.0
20150909:2230,0.0,0.0,0.0,22.85,1.79,0.0
20150909:2330,0.0,0.0,0.0,22.44,1.79,0.0
20150910:0030,0.0,0.0,-1.51,22.12,1.93,0.0
20150910:0130,3380.5,115.35,11.63,22.03,2.0,0.0
20150910:0230,10638.5,295.88,24.75,24.57,1.59,0.0
20150910:0330,17381.5,473.18,37.6,28.3,1.79,0.0
20150910:0430,21997.5,605.51,49.71,30.9,2.34,0.0
20150910:0530,25809.0,723.29,60.03,32.98,2.97,0.0
20150910:0630,27125.0,765.5,66.02,34.42,3.52,0.0
20150910:0730,27033.0,762.71,64.37,34.89,3.72,0.0
20150910:0830,24528.0,685.02,56.2,35.55,4.14,0.0
20150910:0930,20430.5,566.14,44.96,35.82,4.34,0.0
20150910:1030,14242.5,399.6,32.47,35.72,4.28,0.0
20150910:1130,7017.0,216.79,19.48,35.2,3.59,0.0
20150910:1230,1198.0,58.75,6.33,33.82,2.48,0.0
20150910:1330,0.0,0.0,0.0,31.91,2.48,0.0
20150910:1430,0.0,0.0,0.0,30.33,2.48,0.0
20150910:1530,0.0,0.0,0.0,29.11,2.34,0.0
20150910:1630,0.0,0.0,0.0,27.96,2.07,0.0
20150910:1730,0.0,0.0,0.0,26.64,1.59,0.0
20150910:1830,0.0,0.0,0.0,26.57,1.03,0.0
20150910:1930,0.0,0.0,0.0,25.13,1.31,0.0
20150910:2030,0.0,0.0,0.0,25.27,1.03,0.0
20150910:2130,0.0,0.0,0.0,24.68,1.1,0.0
20150910:2230,0.0,0.0,0.0,23.73,1.24,0.0
20150910:2330,0.0,0.0,0.0,22.92,1.45,0.0
20150911:0030,0.0,0.0,-1.61,22.17,1.66,0.0
20150911:0130,3308.5,113.75,11.54,21.84,1.72,0.0
20150911:0230,10491.5,293.07,24.65,24.45,1.03,0.0
20150911:0330,17248.0,472.27,37.47,28.16,1.17,0.0
20150911:0430,22253.0,619.52,49.54,30.52,1.45,0.0
20150911:0530,25417.5,721.53,59.78,32.31,1.72,0.0
20150911:0630,26677.5,764.98,65.66,33.67,2.0,0.0
20150911:0730,26446.0,753.15,63.99,34.22,2.55,0.0
20150911:0830,24286.5,683.81,55.86,34.96,3.03,0.0
20150911:0930,19594.5,544.53,44.66,35.34,3.45,0.0
20150911:1030,13962.5,392.21,32.2,35.22,3.79,0.0
20150911:1130,6853.0,211.94,19.22,34.82,3.79,0.0
20150911:1230,1137.0,56.5,6.07,33.56,2.83,0.0
20150911:1330,0.0,0.0,0.0,31.53,2.62,0.0
20150911:1430,0.0,0.0,0.0,29.95,2.48,0.0
20150911:1530,0.0,0.0,0.0,28.7,2.34,0.0
20150911:1630,0.0,0.0,0.0,27.52,2.21,0.0
20150911:1730,0.0,0.0,0.0,26.42,2.07,0.0
20150911:1830,0.0,0.0,0.0,25.43,2.07,0.0
20150911:1930,0.0,0.0,0.0,25.55,1.24,0.0
20150911:2030,0.0,0.0,0.0,24.68,1.38,0.0
20150911:2130,0.0,0.0,0.0,24.1,1.38,0.0
20150911:2230,0.0,0.0,0.0,23.59,1.38,0.0
20150911:2330,0.0,0.0,0.0,23.4,1.24,0.0
20150912:0030,0.0,0.0,-1.71,23.34,1.1,0.0
20150912:0130,3198.5,110.93,11.44,22.49,1.38,0.0
20150912:0230,10223.0,287.12,24.54,25.02,0.9,0.0
20150912:0330,16997.0,462.41,37.34,28.14,1.79,0.0
20150912:0430,22219.0,608.97,49.36,30.27,2.55,0.0
20150912:0530,25474.0,719.13,59.52,31.88,1.93,0.0
20150912:0630,25908.0,751.6,65.3,33.09,0.97,0.0
20150912:0730,25662.5,740.83,63.6,33.91,1.38,0.0
20150912:0830,23241.5,667.24,55.52,34.53,1.17,0.0
20150912:0930,17089.5,480.89,44.36,34.82,1.24,0.0
20150912:1030,13172.0,374.81,31.92,34.53,1.38,0.0
20150912:1130,6323.5,197.92,18.95,33.95,1.31,0.0
20150912:1230,1007.0,51.05,5.8,32.99,2.0,0.0
20150912:1330,0.0,0.0,0.0,31.06,2.55,0.0
20150912:1430,0.0,0.0,0.0,29.58,3.03,0.0
20150912:1530,0.0,0.0,0.0,28.65,3.03,0.0
20150912:1630,0.0,0.0,0.0,28.03,2.76,0.0
20150912:1730,0.0,0.0,0.0,27.47,2.55,0.0
20150912:1830,0.0,0.0,0.0,27.04,3.03,0.0
20150912:1930,0.0,0.0,0.0,26.99,2.28,0.0
20150912:2030,0.0,0.0,0.0,26.59,2.28,0.0
20150912:2130,0.0,0.0,0.0,26.16,2.28,0.0
20150912:2230,0.0,0.0,0.0,25.78,2.21,0.0
20150912:2330,0.0,0.0,0.0,25.42,2.0,0.0
20150913:0030,0.0,0.0,-1.81,25.11,1.86,0.0
20150913:0130,2928.0,102.76,11.34,24.99,1.86,0.0
20150913:0230,8926.5,251.76,24.43,26.3,2.0,0.0
20150913:0330,15724.5,424.96,37.21,28.2,2.48,0.0
20150913:0430,21078.5,577.35,49.18,29.89,2.14,0.0
20150913:0530,23329.5,651.75,59.26,31.28,1.72,0.0
20150913:0630,24914.0,711.62,64.94,32.41,1.24,0.0
20150913:0730,24238.5,701.76,63.21,33.88,0.83,0.0
20150913:0830,22150.5,641.36,55.17,34.61,0.48,0.0
20150913:0930,18011.5,512.82,44.05,35.13,0.69,0.0
20150913:1030,13099.5,375.8,31.64,35.34,1.1,0.0
20150913:1130,6237.0,197.04,18.69,35.19,1.59,0.0
20150913:1230,797.5,45.71,5.54,34.34,1.59,0.0
20150913:1330,0.0,0.0,0.0,32.78,2.0,0.0
20150913:1430,0.0,0.0,0.0,31.18,1.86,0.0
20150913:1530,0.0,0.0,0.0,29.75,1.52,0.0
20150913:1630,0.0,0.0,0.0,28.94,1.17,0.0
20150913:1730,0.0,0.0,0.0,28.42,0.97,0.0
20150913:1830,0.0,0.0,0.0,26.63,1.59,0.0
20150913:1930,0.0,0.0,0.0,27.14,1.03,0.0
20150913:2030,0.0,0.0,0.0,26.58,1.03,0.0
20150913:2130,0.0,0.0,0.0,26.75,0.9,0.0
20150913:2230,0.0,0.0,0.0,26.73,0.76,0.0
20150913:2330,0.0,0.0,0.0,25.56,1.03,0.0
20150914:0030,0.0,0.0,-1.92,24.6,1.24,0.0
20150914:0130,3013.0,106.57,11.24,24.04,1.38,0.0
